disease_j,disease_k,evidence_tier,n_valid,n_joint_events,pair_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Chronic Liver Disease,Cancer Lung,suppressed,10163,,,,2.56,,,,,,,,,,,,
Chronic Liver Disease,Cancer Colorectal,suppressed,10048,,,,2.68,,,,,,,,,,,,
Chronic Liver Disease,Anxiety,suppressed,10078,,,,3.12,,,,,,,,,,,,
Depression,Rheumatoid Arthritis,suppressed,9919,,,,1.78,,,,,,,,,,,,
Depression,Osteoporosis,suppressed,9924,,,,2.4,,,,,,,,,,,,
Depression,Hypothyroidism,suppressed,9811,,,,2.48,,,,,,,,,,,,
Depression,Sleep Apnea,suppressed,9966,,,,3.66,,,,,,,,,,,,
Depression,Cancer Lung,suppressed,10054,,,,3.53,,,,,,,,,,,,
Depression,Cancer Colorectal,suppressed,9931,,,,4.08,,,,,,,,,,,,
Depression,Cancer Prostate,suppressed,9756,,,,10.29,,,,,,,,,,,,
Depression,Cancer Other,suppressed,9442,,,,12.35,,,,,,,,,,,,
Substance Use Disorder,Rheumatoid Arthritis,suppressed,10373,,,,2.01,,,,,,,,,,,,
Substance Use Disorder,Osteoporosis,suppressed,10391,,,,3.8,,,,,,,,,,,,
Substance Use Disorder,Hypothyroidism,suppressed,10266,,,,3.08,,,,,,,,,,,,
Substance Use Disorder,Sleep Apnea,suppressed,10423,,,,4.19,,,,,,,,,,,,
Substance Use Disorder,Anxiety,suppressed,10444,,,,5.37,,,,,,,,,,,,
Osteoarthritis,Hypothyroidism,suppressed,9084,,,,14.86,,,,,,,,,,,,
Rheumatoid Arthritis,Osteoporosis,suppressed,10383,,,,1.18,,,,,,,,,,,,
Rheumatoid Arthritis,Hypothyroidism,suppressed,10259,,,,1.21,,,,,,,,,,,,
Rheumatoid Arthritis,Sleep Apnea,suppressed,10407,,,,1.83,,,,,,,,,,,,
Rheumatoid Arthritis,Cancer Lung,suppressed,10512,,,,1.74,,,,,,,,,,,,
Rheumatoid Arthritis,Cancer Colorectal,suppressed,10389,,,,1.96,,,,,,,,,,,,
Rheumatoid Arthritis,Cancer Prostate,suppressed,10197,,,,4.87,,,,,,,,,,,,
Rheumatoid Arthritis,Cancer Other,suppressed,9873,,,,5.92,,,,,,,,,,,,
Rheumatoid Arthritis,Anxiety,suppressed,10424,,,,2.22,,,,,,,,,,,,
Osteoporosis,Hypothyroidism,suppressed,10270,,,,1.64,,,,,,,,,,,,
Osteoporosis,Sleep Apnea,suppressed,10426,,,,2.1,,,,,,,,,,,,
Osteoporosis,Cancer Lung,suppressed,10530,,,,2.67,,,,,,,,,,,,
Osteoporosis,Cancer Colorectal,suppressed,10405,,,,2.49,,,,,,,,,,,,
Osteoporosis,Cancer Prostate,suppressed,10225,,,,5.86,,,,,,,,,,,,
Osteoporosis,Cancer Other,suppressed,9895,,,,7.65,,,,,,,,,,,,
Osteoporosis,Anxiety,suppressed,10441,,,,2.95,,,,,,,,,,,,
Hypothyroidism,Sleep Apnea,suppressed,10302,,,,2.67,,,,,,,,,,,,
Hypothyroidism,Cancer Lung,suppressed,10405,,,,2.28,,,,,,,,,,,,
Hypothyroidism,Cancer Colorectal,suppressed,10278,,,,2.72,,,,,,,,,,,,
Hypothyroidism,Cancer Prostate,suppressed,10095,,,,6.73,,,,,,,,,,,,
Hypothyroidism,Cancer Other,suppressed,9771,,,,8.53,,,,,,,,,,,,
Hypothyroidism,Anxiety,suppressed,10319,,,,3.1,,,,,,,,,,,,
Sleep Apnea,Cancer Lung,suppressed,10564,,,,3.25,,,,,,,,,,,,
Sleep Apnea,Cancer Colorectal,suppressed,10436,,,,4.1,,,,,,,,,,,,
Sleep Apnea,Anxiety,suppressed,10480,,,,4.51,,,,,,,,,,,,
Cancer Lung,Cancer Colorectal,suppressed,10546,,,,3.63,,,,,,,,,,,,
Cancer Lung,Anxiety,suppressed,10583,,,,4.29,,,,,,,,,,,,
Cancer Colorectal,Anxiety,suppressed,10456,,,,5.14,,,,,,,,,,,,
Cancer Prostate,Anxiety,suppressed,10267,,,,13.07,,,,,,,,,,,,
