disease_j,disease_k,evidence_tier,n_valid,n_joint_events,pair_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Hyperlipidemia,Stroke Cerebrovascular,low_n,6424,26,0.00405,26,33.89,0.767,0.501,1.124,poisson_exact,includes_1,,,,,,,
Hypertension,Stroke Cerebrovascular,low_n,3477,25,0.00719,25,22.49,1.111,0.719,1.641,poisson_exact,includes_1,,,,,,,
Heart Failure,COPD,low_n,8097,25,0.00309,25,25.9,0.965,0.625,1.425,poisson_exact,includes_1,,,,,,,
Hypertension,Osteoarthritis,low_n,3187,24,0.00753,24,57.36,0.418,0.268,0.623,poisson_exact,below_1,,,,,,,
Stroke Cerebrovascular,Osteoarthritis,low_n,8888,24,0.0027,24,54.67,0.439,0.281,0.653,poisson_exact,below_1,,,,,,,
Atrial Fibrillation,Cancer Lung,low_n,10281,24,0.00233,24,18.0,1.333,0.854,1.983,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Heart Failure,low_n,6526,23,0.00352,23,31.13,0.739,0.468,1.109,poisson_exact,includes_1,,,,,,,
Substance Use Disorder,Cancer Other,low_n,9892,23,0.00233,23,15.61,1.473,0.934,2.21,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Peripheral Vascular Disease,low_n,10032,22,0.00219,22,16.15,1.362,0.854,2.063,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Heart Failure,low_n,9382,21,0.00224,21,28.71,0.731,0.453,1.118,poisson_exact,includes_1,,,,,,,
Heart Failure,Cancer Other,low_n,9875,21,0.00213,21,36.45,0.576,0.357,0.881,poisson_exact,below_1,,,,,,,
Diabetes Mellitus,Stroke Cerebrovascular,low_n,9075,19,0.00209,19,22.23,0.855,0.515,1.335,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Cancer Prostate,low_n,9200,19,0.00207,19,23.34,0.814,0.49,1.271,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Substance Use Disorder,low_n,9063,19,0.0021,19,20.89,0.91,0.548,1.42,poisson_exact,includes_1,,,,,,,
Peripheral Vascular Disease,Osteoarthritis,low_n,9192,19,0.00207,19,30.64,0.62,0.373,0.968,poisson_exact,below_1,,,,,,,
COPD,Cancer Lung,low_n,8209,19,0.00231,19,7.42,2.561,1.542,3.999,poisson_exact,above_1,,,,,,,
COPD,Cancer Other,low_n,7722,19,0.00246,19,25.39,0.748,0.45,1.168,poisson_exact,includes_1,,,,,,,
Substance Use Disorder,Osteoarthritis,low_n,9199,18,0.00196,18,23.75,0.758,0.449,1.198,poisson_exact,includes_1,,,,,,,
Cancer Colorectal,Cancer Other,low_n,9929,18,0.00181,18,13.67,1.316,0.78,2.08,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Anxiety,low_n,9102,17,0.00187,17,23.54,0.722,0.421,1.156,poisson_exact,includes_1,,,,,,,
Chronic Kidney Disease,Cancer Other,low_n,9144,17,0.00186,17,23.37,0.727,0.424,1.165,poisson_exact,includes_1,,,,,,,
Hypertension,Cancer Prostate,low_n,3453,16,0.00463,16,28.26,0.566,0.324,0.919,poisson_exact,below_1,,,,,,,
Diabetes Mellitus,Hyperlipidemia,low_n,6276,16,0.00255,16,33.95,0.471,0.269,0.765,poisson_exact,below_1,,,,,,,
Coronary Heart Disease,Cancer Lung,low_n,9170,16,0.00174,16,16.89,0.947,0.541,1.538,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Cancer Prostate,low_n,9848,16,0.00162,16,24.76,0.646,0.369,1.049,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Chronic Kidney Disease,low_n,8727,15,0.00172,15,17.89,0.839,0.469,1.383,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Cancer Lung,low_n,10158,15,0.00148,15,9.39,1.597,0.894,2.635,poisson_exact,includes_1,,,,,,,
COPD,Substance Use Disorder,low_n,8134,15,0.00184,15,9.93,1.511,0.846,2.492,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Cancer Other,low_n,6136,14,0.00228,14,44.98,0.311,0.17,0.522,poisson_exact,below_1,,,,,,,
Stroke Cerebrovascular,COPD,low_n,7849,14,0.00178,14,19.89,0.704,0.385,1.181,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Depression,low_n,9593,14,0.00146,14,9.37,1.493,0.816,2.506,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Sleep Apnea,low_n,10180,14,0.00138,14,22.78,0.615,0.336,1.031,poisson_exact,includes_1,,,,,,,
Peripheral Vascular Disease,COPD,low_n,8106,14,0.00173,14,13.43,1.043,0.57,1.75,poisson_exact,includes_1,,,,,,,
Peripheral Vascular Disease,Cancer Other,low_n,9881,14,0.00142,14,18.74,0.747,0.408,1.253,poisson_exact,includes_1,,,,,,,
Osteoarthritis,Cancer Lung,low_n,9318,14,0.0015,14,18.72,0.748,0.409,1.255,poisson_exact,includes_1,,,,,,,
Hypertension,Cancer Other,low_n,3330,13,0.0039,13,31.12,0.418,0.222,0.714,poisson_exact,below_1,,,,,,,
Diabetes Mellitus,Peripheral Vascular Disease,low_n,9379,13,0.00139,13,14.08,0.923,0.492,1.579,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Depression,low_n,9686,13,0.00134,13,19.15,0.679,0.361,1.161,poisson_exact,includes_1,,,,,,,
Peripheral Vascular Disease,Cancer Lung,low_n,10518,13,0.00124,13,6.24,2.084,1.11,3.564,poisson_exact,above_1,,,,,,,
COPD,Osteoarthritis,low_n,7167,13,0.00181,13,41.93,0.31,0.165,0.53,poisson_exact,below_1,,,,,,,
Osteoarthritis,Sleep Apnea,low_n,9238,13,0.00141,13,23.92,0.544,0.289,0.929,poisson_exact,below_1,,,,,,,
Hypertension,Hyperlipidemia,low_n,2880,12,0.00417,12,46.82,0.256,0.132,0.448,poisson_exact,below_1,,,,,,,
Hypertension,Heart Failure,low_n,3548,12,0.00338,12,20.01,0.6,0.31,1.047,poisson_exact,includes_1,,,,,,,
