disease_j,disease_k,disease_l,evidence_tier,n_valid,n_joint_events,triplet_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Hypertension,Diabetes Mellitus,Coronary Heart Disease,suppressed,5055,,,,1.44,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Stroke Cerebrovascular,suppressed,5122,,,,0.71,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Heart Failure,suppressed,5191,,,,0.79,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Atrial Fibrillation,suppressed,5151,,,,1.27,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Peripheral Vascular Disease,suppressed,5165,,,,0.4,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,COPD,suppressed,4240,,,,0.73,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Chronic Kidney Disease,suppressed,4900,,,,0.71,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Chronic Liver Disease,suppressed,5087,,,,0.32,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Depression,suppressed,4766,,,,0.6,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Substance Use Disorder,suppressed,5186,,,,0.16,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Osteoarthritis,suppressed,4391,,,,2.67,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Rheumatoid Arthritis,suppressed,5067,,,,0.38,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Osteoporosis,suppressed,4778,,,,0.82,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Hypothyroidism,suppressed,4635,,,,0.49,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Sleep Apnea,suppressed,5186,,,,0.26,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Cancer Breast,suppressed,4910,,,,0.58,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Cancer Lung,suppressed,5181,,,,0.3,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Cancer Colorectal,suppressed,5160,,,,0.22,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Cancer Other,suppressed,4851,,,,0.8,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Anxiety,suppressed,5117,,,,1.06,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Stroke Cerebrovascular,suppressed,3976,,,,1.12,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Heart Failure,suppressed,4003,,,,1.02,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Peripheral Vascular Disease,suppressed,3990,,,,0.62,,,,,,,,,,,,
Hypertension,Hyperlipidemia,COPD,suppressed,3264,,,,1.04,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Chronic Kidney Disease,suppressed,3802,,,,0.99,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Chronic Liver Disease,suppressed,3921,,,,0.36,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Depression,suppressed,3698,,,,0.93,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Substance Use Disorder,suppressed,4005,,,,0.25,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Osteoarthritis,suppressed,3406,,,,4.23,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Rheumatoid Arthritis,suppressed,3901,,,,0.52,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Osteoporosis,suppressed,3689,,,,1.39,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Hypothyroidism,suppressed,3598,,,,0.75,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Sleep Apnea,suppressed,4001,,,,0.27,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Cancer Breast,suppressed,3776,,,,0.95,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Cancer Lung,suppressed,3999,,,,0.46,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Cancer Colorectal,suppressed,3979,,,,0.37,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Cancer Other,suppressed,3741,,,,1.25,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Anxiety,suppressed,3954,,,,1.56,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Stroke Cerebrovascular,suppressed,5071,,,,1.2,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Heart Failure,suppressed,5136,,,,1.13,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Peripheral Vascular Disease,suppressed,5111,,,,0.69,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,COPD,suppressed,4194,,,,1.14,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Chronic Kidney Disease,suppressed,4848,,,,1.05,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Chronic Liver Disease,suppressed,5035,,,,0.4,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Depression,suppressed,4711,,,,0.99,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Substance Use Disorder,suppressed,5130,,,,0.25,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Rheumatoid Arthritis,suppressed,5017,,,,0.58,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Osteoporosis,suppressed,4739,,,,1.52,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Hypothyroidism,suppressed,4590,,,,0.78,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Sleep Apnea,suppressed,5130,,,,0.29,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Cancer Breast,suppressed,4858,,,,1.01,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Cancer Lung,suppressed,5126,,,,0.49,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Cancer Colorectal,suppressed,5103,,,,0.39,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Cancer Other,suppressed,4799,,,,1.32,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Anxiety,suppressed,5062,,,,1.7,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Heart Failure,suppressed,5207,,,,0.64,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Atrial Fibrillation,suppressed,5169,,,,1.11,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Peripheral Vascular Disease,suppressed,5184,,,,0.4,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,COPD,suppressed,4243,,,,0.6,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Chronic Kidney Disease,suppressed,4917,,,,0.57,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Chronic Liver Disease,suppressed,5104,,,,0.2,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Depression,suppressed,4774,,,,0.53,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Substance Use Disorder,suppressed,5205,,,,0.13,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Osteoarthritis,suppressed,4401,,,,2.33,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Rheumatoid Arthritis,suppressed,5086,,,,0.3,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Osteoporosis,suppressed,4800,,,,0.84,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Hypothyroidism,suppressed,4650,,,,0.41,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Sleep Apnea,suppressed,5204,,,,0.14,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Cancer Breast,suppressed,4926,,,,0.52,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Cancer Lung,suppressed,5200,,,,0.27,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Cancer Colorectal,suppressed,5178,,,,0.21,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Cancer Other,suppressed,4871,,,,0.7,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Anxiety,suppressed,5135,,,,0.9,,,,,,,,,,,,
Hypertension,Heart Failure,Atrial Fibrillation,suppressed,5237,,,,1.07,,,,,,,,,,,,
Hypertension,Heart Failure,Peripheral Vascular Disease,suppressed,5250,,,,0.38,,,,,,,,,,,,
Hypertension,Heart Failure,COPD,suppressed,4303,,,,0.57,,,,,,,,,,,,
Hypertension,Heart Failure,Chronic Kidney Disease,suppressed,4977,,,,0.56,,,,,,,,,,,,
Hypertension,Heart Failure,Chronic Liver Disease,suppressed,5173,,,,0.23,,,,,,,,,,,,
Hypertension,Heart Failure,Depression,suppressed,4839,,,,0.5,,,,,,,,,,,,
Hypertension,Heart Failure,Substance Use Disorder,suppressed,5273,,,,0.14,,,,,,,,,,,,
Hypertension,Heart Failure,Osteoarthritis,suppressed,4458,,,,2.11,,,,,,,,,,,,
Hypertension,Heart Failure,Rheumatoid Arthritis,suppressed,5152,,,,0.31,,,,,,,,,,,,
Hypertension,Heart Failure,Osteoporosis,suppressed,4862,,,,0.75,,,,,,,,,,,,
Hypertension,Heart Failure,Hypothyroidism,suppressed,4708,,,,0.37,,,,,,,,,,,,
Hypertension,Heart Failure,Sleep Apnea,suppressed,5273,,,,0.19,,,,,,,,,,,,
Hypertension,Heart Failure,Cancer Breast,suppressed,4991,,,,0.45,,,,,,,,,,,,
Hypertension,Heart Failure,Cancer Lung,suppressed,5269,,,,0.25,,,,,,,,,,,,
Hypertension,Heart Failure,Cancer Colorectal,suppressed,5246,,,,0.17,,,,,,,,,,,,
Hypertension,Heart Failure,Cancer Other,suppressed,4930,,,,0.61,,,,,,,,,,,,
Hypertension,Heart Failure,Anxiety,suppressed,5203,,,,0.85,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Peripheral Vascular Disease,suppressed,5210,,,,0.62,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,COPD,suppressed,4270,,,,0.99,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Chronic Kidney Disease,suppressed,4936,,,,0.99,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Chronic Liver Disease,suppressed,5135,,,,0.36,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Depression,suppressed,4803,,,,0.88,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Substance Use Disorder,suppressed,5233,,,,0.22,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Osteoarthritis,suppressed,4428,,,,4.12,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Rheumatoid Arthritis,suppressed,5114,,,,0.51,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Osteoporosis,suppressed,4827,,,,1.35,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Hypothyroidism,suppressed,4677,,,,0.71,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Sleep Apnea,suppressed,5233,,,,0.26,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Cancer Breast,suppressed,4955,,,,0.91,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Cancer Lung,suppressed,5229,,,,0.44,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Cancer Colorectal,suppressed,5206,,,,0.35,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Cancer Other,suppressed,4894,,,,1.23,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Anxiety,suppressed,5163,,,,1.46,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,COPD,suppressed,4286,,,,0.39,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Chronic Kidney Disease,suppressed,4956,,,,0.32,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Chronic Liver Disease,suppressed,5151,,,,0.12,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Depression,suppressed,4819,,,,0.33,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Substance Use Disorder,suppressed,5248,,,,0.08,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Osteoarthritis,suppressed,4441,,,,1.28,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Rheumatoid Arthritis,suppressed,5129,,,,0.19,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Osteoporosis,suppressed,4843,,,,0.51,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Hypothyroidism,suppressed,4689,,,,0.23,,,,,,,,,,,,
