disease_j,disease_k,disease_l,evidence_tier,n_valid,n_joint_events,triplet_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Hypertension,Coronary Heart Disease,Depression,suppressed,7421,,,,0.66,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Substance Use Disorder,suppressed,7850,,,,0.73,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Hypothyroidism,suppressed,7845,,,,0.23,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Sleep Apnea,suppressed,7892,,,,0.7,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Cancer Lung,suppressed,7935,,,,0.2,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Cancer Colorectal,suppressed,7918,,,,0.22,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Cancer Prostate,suppressed,7916,,,,0.51,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Cancer Other,suppressed,7702,,,,0.71,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Anxiety,suppressed,7840,,,,0.79,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Heart Failure,suppressed,7956,,,,0.18,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Atrial Fibrillation,suppressed,7929,,,,0.28,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Peripheral Vascular Disease,suppressed,7942,,,,0.12,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,COPD,suppressed,6897,,,,0.18,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Chronic Kidney Disease,suppressed,7886,,,,0.13,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Chronic Liver Disease,suppressed,7837,,,,0.12,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Depression,suppressed,7438,,,,0.18,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Substance Use Disorder,suppressed,7870,,,,0.23,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Osteoarthritis,suppressed,7570,,,,0.53,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Hypothyroidism,suppressed,7863,,,,0.06,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Sleep Apnea,suppressed,7910,,,,0.18,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Cancer Lung,suppressed,7954,,,,0.06,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Cancer Colorectal,suppressed,7936,,,,0.06,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Cancer Prostate,suppressed,7934,,,,0.14,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Cancer Other,suppressed,7722,,,,0.2,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Anxiety,suppressed,7857,,,,0.23,,,,,,,,,,,,
Hypertension,Heart Failure,Atrial Fibrillation,suppressed,7986,,,,0.35,,,,,,,,,,,,
Hypertension,Heart Failure,Peripheral Vascular Disease,suppressed,8000,,,,0.15,,,,,,,,,,,,
Hypertension,Heart Failure,COPD,suppressed,6934,,,,0.24,,,,,,,,,,,,
Hypertension,Heart Failure,Chronic Kidney Disease,suppressed,7943,,,,0.17,,,,,,,,,,,,
Hypertension,Heart Failure,Chronic Liver Disease,suppressed,7891,,,,0.15,,,,,,,,,,,,
Hypertension,Heart Failure,Depression,suppressed,7488,,,,0.24,,,,,,,,,,,,
Hypertension,Heart Failure,Substance Use Disorder,suppressed,7925,,,,0.25,,,,,,,,,,,,
Hypertension,Heart Failure,Osteoarthritis,suppressed,7621,,,,0.6,,,,,,,,,,,,
Hypertension,Heart Failure,Hypothyroidism,suppressed,7921,,,,0.08,,,,,,,,,,,,
Hypertension,Heart Failure,Sleep Apnea,suppressed,7967,,,,0.27,,,,,,,,,,,,
Hypertension,Heart Failure,Cancer Lung,suppressed,8011,,,,0.07,,,,,,,,,,,,
Hypertension,Heart Failure,Cancer Colorectal,suppressed,7994,,,,0.06,,,,,,,,,,,,
Hypertension,Heart Failure,Cancer Prostate,suppressed,7991,,,,0.13,,,,,,,,,,,,
Hypertension,Heart Failure,Cancer Other,suppressed,7775,,,,0.21,,,,,,,,,,,,
Hypertension,Heart Failure,Anxiety,suppressed,7913,,,,0.27,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Peripheral Vascular Disease,suppressed,7971,,,,0.2,,,,,,,,,,,,
